id,name,hrsWorked,salary
2,Ulrike,180,25000
3,Brade,325,20000
4,Kimbell,120,50000
5,Sheelagh,220,18000
6,Gayle,120,30000
59,Celena,500,20000
60,Kori,90,50000
61,Deeyn,88,20000
62,Marysa,75,20000
63,Loy,120,15000
64,Gabbey,120,37000
99,Aleda,90,50000
100,Georgeta,88,10000
101,Marcille,88,10000
102,Ertha,88,10000
125,Esteban,88,15000
126,Fonzie,325,15000
987,Mohammed,220,42000
988,Dawn,180,37000
989,Wandie,60,25000
990,Chiarra,325,18000
991,Zaccaria,88,33000
992,Trenna,90,10000
993,Angelia,60,50000
994,Raquela,180,12000
995,Maxi,325,18000
996,Atalanta,90,37000
997,De witt,88,12000
998,Jaye,75,25000
999,Tamarra,60,15000
200,Saleem,60,20000
1000,Yesid,120,500
